parameter,LOCATCD,dataset,FLDNUM,mean.val,sd.val,N.val,units
TN,M556.4A,main,3,2.498927928,1.120787801,444,mg/L
TN,CU11.6M,trib,4,1.962289326,0.962548886,356,mg/L
TN,RK00.1M,trib,3,11.0535117,4.748036513,342,mg/L
TN,I157.8D,main,6,4.801124069,1.647201932,403,mg/L
TN,BK01.0M,trib,2,1.441653938,0.529597502,419,mg/L
TN,LM07.2M,trib,6,3.945,2.331878062,409,mg/L
TN,UI02.9M,trib,2,4.937326984,2.000368064,315,mg/L
TN,M078.0B,main,5,3.099212276,1.144581636,391,mg/L
TN,CC00.6M,trib,2,1.495725191,0.557950939,393,mg/L
TN,PE01.8M,trib,4,1.295716332,0.645367108,349,mg/L
TN,I080.2C,main,6,4.627273399,1.582315567,406,mg/L
TN,M701.1B,main,2,2.46322314,1.015364769,484,mg/L
TN,DC01.0M,trib,4,4.104875706,3.109423516,354,mg/L
TN,RK03.7M,trib,3,8.083826347,2.461904657,334,mg/L
TN,M066.3B,main,5,3.117231198,1.148954336,359,mg/L
TN,BK14.2M,trib,2,1.472264286,0.597065033,420,mg/L
TN,LX00.1M,trib,2,1.911490868,0.549018416,438,mg/L
TN,VM00.1M,trib,1,3.931066514,1.22637846,436,mg/L
TN,M202.6T,main,4,3.55569382,1.334989258,356,mg/L
TN,CH00.1M,trib,1,1.476726651,0.528847897,439,mg/L
TN,PI00.2M,trib,4,2.470297561,1.172975125,410,mg/L
TN,I080.2M,main,6,4.733746073,1.692307793,382,mg/L
TN,M764.3A,main,1,2.996196721,1.887972819,427,mg/L
TN,HD00.9M,trib,5,1.135380829,1.682538632,386,mg/L
TN,S000.2K,trib,6,5.322540909,2.917636991,440,mg/L
TN,M066.4C,main,5,3.067313625,1.129807074,389,mg/L
TN,BM00.7S,trib,5,1.56405125,1.020684178,400,mg/L
TN,MK04.4M,trib,6,6.30138191,4.165268802,398,mg/L
TN,WP02.6M,trib,3,6.034373494,2.882601792,415,mg/L
TN,M241.4K,main,4,3.604837379,1.951617964,412,mg/L
TN,CN00.1M,trib,1,4.807289352,1.43507684,432,mg/L
TN,R000.1M,trib,2,4.89243573,1.639312709,459,mg/L
TN,I121.2W,main,6,4.876624444,1.659941413,450,mg/L
TN,M786.2C,main,1,3.143784223,1.336995268,431,mg/L
TNTP,AL02.3M,trib,3,76.57616351,49.78127116,368,mol:mol
TNTP,LM00.5M,trib,6,60.14631229,50.98647144,347,mol:mol
TNTP,SG16.2C,trib,6,35.93153223,29.02976909,396,mol:mol
TNTP,M070.2A,main,5,27.19889308,11.41206767,368,mol:mol
